Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
9/9/20,2/1/20,9/5/20,Alabama,Male,15-24 years,,284,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alabama,Male,18-29 years,,469,,,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alabama,Male,25-34 years,14,524,15,,,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alabama,Male,30-49 years,78,"1,586",75,26,,130,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alabama,Male,35-44 years,34,775,42,13,,65,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alabama,Male,45-54 years,97,"1,351",69,25,,147,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alabama,Male,50-64 years,270,"3,936",263,82,21,472,
9/9/20,2/1/20,9/5/20,Alabama,Male,55-64 years,208,"3,104",217,65,16,376,
9/9/20,2/1/20,9/5/20,Alabama,Male,65-74 years,380,"4,251",379,125,17,650,
9/9/20,2/1/20,9/5/20,Alabama,Male,75-84 years,378,"4,396",389,129,,645,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alabama,Male,85 years and over,255,"3,088",266,87,,440,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alabama,Male,All Ages,"1,369","17,946","1,379",451,60,"2,354",
9/9/20,2/1/20,9/5/20,Alabama,Female,Under 1 year,0,80,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alabama,Female,0-17 years,0,133,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alabama,Female,1-4 years,0,19,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alabama,Female,5-14 years,0,21,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alabama,Female,15-24 years,,111,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alabama,Female,18-29 years,,174,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alabama,Female,25-34 years,,228,14,,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alabama,Female,30-49 years,52,921,47,13,,91,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alabama,Female,35-44 years,24,425,19,,,40,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alabama,Female,45-54 years,71,901,58,19,,115,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alabama,Female,50-64 years,207,"2,611",240,59,13,400,
9/9/20,2/1/20,9/5/20,Alabama,Female,55-64 years,158,"2,054",199,44,,321,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alabama,Female,65-74 years,289,"3,244",259,99,12,461,
9/9/20,2/1/20,9/5/20,Alabama,Female,75-84 years,337,"4,377",337,113,,567,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alabama,Female,85 years and over,434,"5,268",339,127,,648,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alabama,Female,All Ages,"1,321","16,728","1,231",412,40,"2,178",
9/9/20,2/1/20,9/5/20,Alabama,Unknown,Under 1 year,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alabama,Unknown,0-17 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alabama,Unknown,1-4 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alabama,Unknown,5-14 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alabama,Unknown,15-24 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alabama,Unknown,18-29 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alabama,Unknown,25-34 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alabama,Unknown,30-49 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alabama,Unknown,35-44 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alabama,Unknown,45-54 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alabama,Unknown,50-64 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alabama,Unknown,55-64 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alabama,Unknown,65-74 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alabama,Unknown,75-84 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alabama,Unknown,85 years and over,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alabama,Unknown,All Ages,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alabama,All Sexes,All Ages,"2,690","34,674","2,610",863,100,"4,532",
9/9/20,2/1/20,9/5/20,Alaska,Male,Under 1 year,0,10,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alaska,Male,0-17 years,0,29,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alaska,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Male,5-14 years,0,11,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alaska,Male,15-24 years,0,52,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alaska,Male,18-29 years,0,78,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alaska,Male,25-34 years,0,67,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Male,30-49 years,,164,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Male,35-44 years,0,86,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Male,45-54 years,,108,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Male,50-64 years,,336,14,,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Male,55-64 years,,270,13,,0,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Male,65-74 years,,324,11,,0,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Male,75-84 years,,331,15,,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Male,85 years and over,,192,13,,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Male,All Ages,23,"1,454",59,10,,75,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Female,Under 1 year,0,10,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alaska,Female,0-17 years,0,22,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Female,1-4 years,0,,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Female,15-24 years,0,23,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Female,18-29 years,0,35,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Female,25-34 years,,40,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Female,30-49 years,,108,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Female,35-44 years,0,54,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Female,45-54 years,,72,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Female,50-64 years,,187,13,,0,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Female,55-64 years,,147,10,,0,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Female,65-74 years,,229,12,,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Female,75-84 years,,213,11,,0,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Female,85 years and over,,263,11,,0,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Female,All Ages,11,"1,057",53,,,59,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Alaska,Unknown,Under 1 year,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alaska,Unknown,0-17 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alaska,Unknown,1-4 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alaska,Unknown,5-14 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alaska,Unknown,15-24 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alaska,Unknown,18-29 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alaska,Unknown,25-34 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alaska,Unknown,30-49 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alaska,Unknown,35-44 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alaska,Unknown,45-54 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alaska,Unknown,50-64 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alaska,Unknown,55-64 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alaska,Unknown,65-74 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alaska,Unknown,75-84 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alaska,Unknown,85 years and over,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alaska,Unknown,All Ages,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Alaska,All Sexes,All Ages,34,"2,511",112,18,,134,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arizona,Male,Under 1 year,0,126,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arizona,Male,0-17 years,,280,,,,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arizona,Male,1-4 years,,39,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arizona,Male,5-14 years,,40,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arizona,Male,15-24 years,13,499,11,,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arizona,Male,18-29 years,33,845,29,19,,44,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arizona,Male,25-34 years,52,876,41,28,,66,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arizona,Male,30-49 years,215,"2,245",163,111,,270,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arizona,Male,35-44 years,99,"1,072",75,52,,124,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arizona,Male,45-54 years,227,"1,698",181,127,,285,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arizona,Male,50-64 years,607,"4,540",570,357,17,837,
9/9/20,2/1/20,9/5/20,Arizona,Male,55-64 years,465,"3,560",456,275,13,659,
9/9/20,2/1/20,9/5/20,Arizona,Male,65-74 years,635,"5,344",708,394,14,963,
9/9/20,2/1/20,9/5/20,Arizona,Male,75-84 years,704,"6,184",798,423,12,"1,091",
9/9/20,2/1/20,9/5/20,Arizona,Male,85 years and over,503,"5,161",530,257,10,786,
9/9/20,2/1/20,9/5/20,Arizona,Male,All Ages,"2,702","24,599","2,805","1,564",61,"4,004",
9/9/20,2/1/20,9/5/20,Arizona,Female,Under 1 year,0,103,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arizona,Female,0-17 years,0,200,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arizona,Female,1-4 years,0,30,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arizona,Female,5-14 years,0,36,0,0,0,0,
9/9/20,2/1/20,9/5/20,Arizona,Female,15-24 years,,162,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arizona,Female,18-29 years,15,300,14,,0,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arizona,Female,25-34 years,27,392,29,15,,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arizona,Female,30-49 years,122,"1,052",109,73,,165,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arizona,Female,35-44 years,54,479,38,26,,69,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arizona,Female,45-54 years,100,880,107,60,,153,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arizona,Female,50-64 years,319,"2,713",341,186,13,487,
9/9/20,2/1/20,9/5/20,Arizona,Female,55-64 years,269,"2,183",283,160,10,402,
9/9/20,2/1/20,9/5/20,Arizona,Female,65-74 years,430,"3,797",476,260,16,662,
9/9/20,2/1/20,9/5/20,Arizona,Female,75-84 years,526,"5,268",592,307,10,821,
9/9/20,2/1/20,9/5/20,Arizona,Female,85 years and over,572,"7,052",578,272,,886,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arizona,Female,All Ages,"1,984","20,382","2,114","1,105",54,"3,047",
9/9/20,2/1/20,9/5/20,Arizona,Unknown,Under 1 year,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Arizona,Unknown,0-17 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Arizona,Unknown,1-4 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Arizona,Unknown,5-14 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Arizona,Unknown,15-24 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Arizona,Unknown,18-29 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Arizona,Unknown,25-34 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Arizona,Unknown,30-49 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Arizona,Unknown,35-44 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Arizona,Unknown,45-54 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Arizona,Unknown,50-64 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Arizona,Unknown,55-64 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Arizona,Unknown,65-74 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Arizona,Unknown,75-84 years,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Arizona,Unknown,85 years and over,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Arizona,Unknown,All Ages,0,0,0,0,0,0,
9/9/20,2/1/20,9/5/20,Arizona,All Sexes,All Ages,"4,686","44,981","4,919","2,669",115,"7,051",
9/9/20,2/1/20,9/5/20,Arkansas,Male,Under 1 year,0,82,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arkansas,Male,0-17 years,0,166,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arkansas,Male,1-4 years,0,20,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arkansas,Male,5-14 years,0,27,0,0,0,0,
9/9/20,2/1/20,9/5/20,Arkansas,Male,15-24 years,,171,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arkansas,Male,18-29 years,,258,,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arkansas,Male,25-34 years,,297,11,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arkansas,Male,30-49 years,34,936,45,12,,72,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arkansas,Male,35-44 years,10,427,25,,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arkansas,Male,45-54 years,42,759,50,20,,75,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/9/20,2/1/20,9/5/20,Arkansas,Male,50-64 years,107,"2,257",185,56,14,250,
9/9/20,2/1/20,9/5/20,Arkansas,Male,55-64 years,84,"1,834",149,44,12,201,
9/9/20,2/1/20,9/5/20,Arkansas,Male,65-74 years,106,"2,636",196,54,11,259,
9/9/20,2/1/20,9/5/20,Arkansas,Male,75-84 years,130,"2,645",251,65,,323,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
